index,Healthy,MPN,MF,HAI_Healthy_coef,HAI_Disease_coef,HAI_All_coef,HAI_Healthy_pval,HAI_Disease_pval,HAI_All_pval,cell,id
B Cluster 01,0.010367579059196644,0.00014814814814814001,0.0070563335497142,0.17647681943136379,-0.4334607234315053,0.23014416185657954,0.6496847436328108,0.33126998536049596,0.3911693264189091,B,0
B Cluster 02,0.03998932802378469,0.00033714543217994,0.012143529983374951,0.47060485181697004,-0.5188745216627708,0.28972661276292544,0.20107024603546597,0.23275391866676248,0.2763927152425607,B,0
B Cluster 03,0.0016700643634321413,0.0,0.00024619761461865,0.10924755488608233,0.20412414523193154,0.27694011991641077,0.7796443602951023,0.6606421552406503,0.29908832908755234,B,0
B Cluster 04,0.10153934749934357,0.0023860921376426003,0.0128152879040835,-0.16807316136320358,-0.19820624179302296,0.16666684795091694,0.6655622186097796,0.6700850339168267,0.5372819225814705,B,0
B Cluster 05,0.08362051088966323,0.0021748328400745197,0.01064120800962905,-0.008403658068160179,-0.15762208124782012,0.20341774306033159,0.982881215852173,0.7357240883178837,0.4498760049081272,B,0
B Cluster 06,0.05159691765106646,0.00095846882726196,0.025480787411688247,-0.1596695032950434,-0.4447495899966607,0.09164821424133356,0.6815555031835359,0.3173719428280247,0.7356894359163292,B,0
B Cluster 07,0.009768848173839377,0.00069749451226338,0.02439426212432345,-0.008403658068160179,-0.5225437283634242,0.10177002220011741,0.982881215852173,0.22887787757609496,0.7076346075832401,B,0
B Cluster 08,0.025365004434299544,0.05404604484437194,0.268840299030806,-0.08403658068160179,0.0,-0.17243962552276113,0.8298064051563602,1.0,0.5230708876797382,B,1
B Cluster 09,0.031242529265680035,0.00159537678195848,0.00062917168180325,0.23530242590848502,0.1853123291652753,0.4168515550976784,0.5422155274298937,0.6907777961916857,0.10821448908234234,B,0
B Cluster 10,0.03783597291591037,0.08653973474180028,0.11040527375690429,-0.2857243743174461,0.2857142857142857,-0.13411970873992532,0.4560861494086982,0.5345092286010407,0.6204531258200894,B,1
B Cluster 11,0.16518795441217496,0.00509870294703896,0.019859497111676602,-0.14286218715872304,0.05405624776173353,0.27581150944089794,0.7138681401028166,0.9083652825239955,0.3011430329670587,B,0
B Cluster 12,0.042284946346769776,0.0007604832718282,0.0008753692964219,-0.11765121295424251,-0.23643312187173018,0.20638734514880358,0.7630703618815532,0.6097426924107068,0.44314335202660726,B,0
B Cluster 13,0.0010835111373323244,0.15706800280134287,0.00410654190118185,0.012658340529445694,0.07142857142857142,-0.18952822974949401,0.9742160835134459,0.8790481931481541,0.4820375276558788,B,1
B Cluster 14,0.0003534977901417209,0.1340683572216097,0.0001910432326964,-0.6812252172447593,-0.31524416249564025,-0.48073236666173547,0.04333925658044327,0.4910161978992569,0.059435064902420336,B,1
B Cluster 15,0.04331216581981274,0.09586110726477211,0.18072249741607183,-0.18488047749952397,0.0,-0.10316900672301949,0.633928325636063,1.0,0.7037837036102257,B,1
B Cluster 16,0.0012058940178309111,0.0026569775517738,0.00118795803329215,-0.4117792453398488,0.6428571428571429,-0.11643359330169342,0.27080524598002204,0.11939237342741099,0.6676170563080901,B,1
B Cluster 17,0.1400015361706386,0.0062277906009540005,0.0126789552524134,-0.22689876784032484,-0.12613124477737825,0.19616540511037125,0.5571400528860272,0.787572159407474,0.46653236207812354,B,0
B Cluster 18,0.14735184085981282,0.005985016311530579,0.00612758507495345,-0.6302743551120135,-0.07412493166611012,0.10051739626468842,0.06882950344477745,0.8745070324258755,0.7110882872363165,B,1
B Cluster 19,0.055673822091670565,0.4049862058120822,0.2581687074421979,-0.22689876784032484,0.07142857142857142,-0.20633801344603897,0.5571400528860272,0.8790481931481541,0.44325477669081503,B,1
B Cluster 20,0.0012710357183854,0.02488693709556432,0.0010377258359176,0.6470816712483338,0.35714285714285715,0.11201206444213543,0.059592213885008516,0.43161135203832784,0.6796010982301586,B,0
B Cluster 21,0.008741996052258333,0.011272478219021682,0.0410383471571718,0.33614632272640715,-0.03571428571428571,0.16359656780364518,0.37645555034030703,0.9394082054712856,0.5449095557017978,B,0
B Cluster 22,0.0005356973069548333,0.0022446026367796803,0.00135342117905885,0.2857243743174461,0.2857142857142857,0.05383486681600414,0.4560861494086982,0.5345092286010407,0.8430340932945948,B,0
