sample_name,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
2745_Unstim,0.0741,0.037,0,0.241,0.167,0.315,0.0741,9.41,0.111,10,0.519,0.0185,0.13,0,10.9,0.0926,1.74,2.37,63.3,0.204,0.148,0.148,0.983,1.3,2.73,11.9,9.5,0.182,0.963,1.03,0.73,0.608,0.304,2.14,0.0101,0.111,7.07,30.4,6.29,1.19,6.88,9.68,0.213,3.83,0.628,0.709,0.476,0.152,1.63,42.4,14,11.7,0.688,12.1,1.03,0.618,1.42,4.14,0.0537,0.0279,2.09,1.22,0.221,0.605,0.769,0.0934,0.133,0.117,0.706,0.292,0.168,0.506,0.0172,0.282,0.0333,2.78,0.0226,0.0977
2765_Unstim,0.0497,0.0199,0.0298,0.0398,0.0298,0.0298,0.0199,5.04,0,3.45,0.0995,0.00995,0.0597,0.0199,20,0.149,0.229,0.219,69.1,0.0895,1.29,0.0796,0.923,0.839,6.68,19.8,16.9,0.339,0.22,0.208,0.22,0.113,0.524,1.12,0.0833,0.0655,2.58,15.1,4.37,0.226,2.8,12.7,0.256,8.46,0.506,4.17,0.786,0.0536,0.993,23.9,21.5,5.46,0.566,6.41,2.29,1.18,2.71,4.16,0.0629,0.0385,7.76,3.04,0.103,0.598,7.96,0.427,0.435,0.215,2.06,1.25,0.593,1.18,0.0297,1.32,0.0472,2.95,0.343,0.378
2780_Unstim,0.108,0.216,0,0.72,0.612,0.864,0.324,11.9,0.252,10.3,2.3,0.144,0.324,0.108,19.1,0.684,4.65,4.39,40.8,0.216,1.98,0.036,0.595,0.904,2.74,18.7,12.4,0.19,8.8,10.6,2.55,0.476,0.5,2.88,0,0.143,0.928,1.64,2.24,1.17,3.76,6.57,0.214,16.6,0.666,1.78,2.62,0.428,0.76,40,14.4,19.8,1.02,3.84,1.09,0.351,1.95,1.98,0.14,0.59,4.68,1.35,0.725,1.09,0.906,0.421,0.164,0.117,0.859,0.672,0.351,0.316,0.0935,0.193,0.0818,0.912,0.0818,1.17
2797_Unstim,0.08,0.16,0,0.52,0.44,0.42,0,2.98,0.56,4.06,4.1,0.86,0.18,0,12.5,0.16,15,8.06,48,1.04,0.56,0.3,0.594,0.764,1.69,12.5,9.9,0.148,0.233,0.594,0.636,2.11,0.244,10.3,0.0424,0.0106,8.57,28,7.73,0.233,0.997,8.38,0.371,1.6,0.71,3.3,0.159,0.191,1.62,16.7,2.72,23.2,0.581,9.1,1.48,0.921,2.07,3.73,0.376,0.0171,2.8,0.707,15.8,5.72,0.994,0.139,1.86,0.122,0.515,0.346,0.216,0.323,1.09,2.95,0.175,3.49,0.126,0.0791
2875_Unstim,0,0.132,0,0.773,0.921,0.164,0.164,1.12,0.148,3.67,0.954,0.362,75.8,0,3.06,0.0987,0.296,0.263,2.47,9.03,0.608,0.0164,1.51,0.458,2.75,5.83,6.09,0.196,1.18,0.524,3.67,6.42,3.34,40.5,0.0655,0,1.44,3.8,2.95,0.458,2.23,4.13,0.131,8.06,0.458,2.88,0.982,0,1.18,11.1,4.6,37.5,0.357,3.08,0.871,0.128,2.75,3,0.907,0.0641,5.48,2.05,0.403,11.4,0.898,0.55,0.376,0.0641,1.01,0.44,0.156,0.825,4.88,5.12,0.257,0.412,0.0367,0.165
298_Unstim,1.07,2.42,0,3.29,1.81,5.13,2.11,7.77,3.9,16.9,9.14,1.18,0.686,0.302,11.6,0.165,8.13,5.85,17.1,0.0549,1.4,0.0549,3.57,8.3,21,2.14,17.9,0.993,0.962,0.59,1.6,6.35,3.83,10.9,0,0.465,1.72,1.57,1.32,1.27,2.48,2.22,0.14,6.14,1.44,0.031,2.19,0.946,1.01,24.9,22.6,14.6,0.532,9.12,2.28,0.135,2.94,2.9,0.257,0.0384,5.46,3.7,0.699,1.64,0.914,0.582,0.109,0.104,1.69,0.159,0.493,1.12,1.09,0.649,0.0468,0.159,0.0276,0.12
299_Unstim,1.9,4.35,0.00596,11.1,9.75,3.92,1.87,0.835,4.86,0.614,18,2.65,0.0179,0.00596,0.417,0.0775,17.2,21.2,0.459,0.0179,0.691,0,3.83,7.93,4.8,6.47,24.6,1.39,0.581,0.436,1.8,4.2,7.8,20.1,0.0311,0.291,0.851,0.311,1.07,0.965,1.01,0.696,0.0623,4.56,0.633,0.571,2.73,2.28,1.33,21.2,22.3,9.63,0.415,6.88,3.95,0.136,2.38,5.18,0.359,0.193,3.02,4,0.438,2.4,1.47,0.828,0.754,0.175,5.41,0.271,0.541,2.54,1.68,1.97,0.132,0.0917,0.0439,0.23
307_Unstim,0.965,1.79,0.0471,1.36,1.53,1.44,0.541,5.67,1.39,10.8,6.19,0.541,0.188,0,23.2,0.0471,7.58,5.36,26.5,0.588,4.14,0.0941,1.47,3.96,10.8,7.43,13.5,0.308,0.662,0.735,1.26,3.47,5.51,30.8,0.00907,0.172,0.998,0.499,5.66,0.726,1.2,0.417,0.0635,2.6,0.172,1.3,0.699,5.61,1.15,22.3,24.5,13.2,0.492,5.92,2.84,0.262,1.7,5,0.33,0.221,5.29,4.63,0.138,0.146,3.28,1.08,0.0494,0.138,3.55,0.473,0.375,1.24,0.0868,0.0885,0.729,0.24,0.0664,0.55
352_Unstim,0.241,1.36,0.00603,3.16,3.84,1.74,0.229,1.81,3.53,1.94,20.5,2.78,0.0211,0.00301,2.08,0.0753,30.9,22.3,3.42,0.0392,0.0573,0.0181,0.92,0.83,3.25,8.88,2.32,0.321,0.243,0.153,0.517,1.12,4.47,3.67,0.0392,0.0627,0.971,0.799,2.31,0.678,2.42,7.99,0.223,34.6,4.77,1.33,12.4,4.73,1.41,14.1,6.99,22.2,0.357,4.6,4.45,0.419,5.93,9.9,0.265,0.174,5.92,2.62,0.373,1.34,1.93,1.02,0.521,0.225,4.89,0.268,0.903,1.52,0.354,1.53,0.0691,1.39,0.826,3.55
355_Unstim,0.918,4.16,0.643,17.7,9.68,7.17,0.757,1.21,0.964,0.661,15.4,4.97,0.00714,0.00714,0.396,0.182,12.1,22.1,0.746,0.0678,0.168,0.0428,16.8,0.789,5.15,2.51,18.3,0.849,1.56,1.17,1.09,2.84,2.01,2.41,0.177,0.0919,3.16,7.68,4.17,0.919,1.46,11.4,0.2,8.74,4.82,0.754,0.896,0.143,0.643,6.76,6.47,1.55,0.587,2.49,4.24,2.3,7.27,10.5,0.418,0.182,7.11,6.25,0.773,2.03,3.15,1.53,0.696,2,14.7,0.458,3.48,6.78,0.436,2.33,0.068,2.44,1.82,0.576
