sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
222_Unstim,I08,0,0.000026700101,0,0,0,0,0.018,0,0,0,0,0.257,0.14,0,0.353,0.154,0.0966,0,1.08,0.0307,1.74,1.28,0.267,0,0.241,0,0,0,0.248,4.5,0.245,0,0,0,0,0,0.0415,0,0,0.109,0
222_Unstim,I09,0,0.000000460713,0,0.355,0,0,1.31,0,0,0.0329,0.158,0.256,1.24,0.0009971922,0.371,0.489,0.339,0,0.176,0.436,0.946,0.0139,1.94,0,0.0842,0.00000750493,0,0,0,1.44,0.125,0,0,0,0,0,0.0714,0,0,0.0297,0
222_Unstim,I10,0.199,0.0143,0,0,0,0,0.574,0,0,0,0.0311,0.132,0.411,0,0,0,0,0,1.2,0,0.947,1.6,0.256,0.578,3.98,0,0,0,3.49,0.828,0.237,0,0,0,0,0,0.205,0,0.824,0.244,0
222_Unstim,I11,0,0.000054962602,0,0,0,0,0,2.78,0.926,0,0,1.61,2.85,1.84,1.07,0.0000927196,0,0,0.741,0.00048306797,2.65,3.05,0,0,0.222,0,0.671,0.183,0.195,6.51,0,0.00000782884,0,0,0,0,0.0338,0,0.126,0.171,0
222_Unstim,I12,1.63,2.58,0.0116,0,0,0,3.55,0.0226,0,3.44,0.335,0.332,1.51,0,0,0,0,0.95,1.87,0.468,1.59,0.225,1.29,0,0.0254,0,0,0.783,0.0644,4.98,0.0281,0.0000021749,0,0,0,0,0.221,0,0,0.144,0
222_Unstim,I13,3.14,4.17,2.63,0.243,3.07,1.43,0.203,0,0.0979,3.4,0.00319,1.4,0.946,0.477,0.0637,0.197,0,2.65,3.17,0.912,4.65,3.44,2.7,2.63,4.28,0.396,0.437,1.98,3.56,6.11,0.277,0.0000011918399,0.168,0,2.27,0,4.19,0,0.865,0.437,0.0217
222_Unstim,I14,0.334,0.288,3.65,0.0113,0,0,0.907,0,0,0.715,0.0346,2.32,1.61,2.61,0.696,0.209,0,0.915,3.74,0.784,3.85,2.68,0.151,0,1.12,0.101,0.425,1.42,2.5,7.32,0,0.00001777762,0.083,0.00396,0,0,0.387,0,0.398,0.17,0.104
222_Unstim,I15,0.905,4.62,3.33,0.0548,0.221,0.261,0.108,0,0,0.269,0.0144,2.5,0.733,0.271,0.723,0.13,0,1.74,1.71,0.494,4.53,1.85,1.44,0,0.84,0.0855,1.81,3.17,0.349,6.99,0.4,0,0.138,0,0.647,0,3.38,0,0.232,0.302,0.059
222_Unstim,I16,2.17,3.94,2.4,0.116,2.16,0,0.0204,0,0,2.93,0,2.12,0.761,0.237,0.527,0.121,0,2.35,2.51,0.393,4.37,0.936,2.09,0,0.678,0.0304,0.433,1.31,0.253,6.33,0.628,0,0.129,0,0.804,0,1.38,0,0.169,0.303,0
222_Unstim,I17,2.75,3.26,0.858,0,2.81,0,0,0,0,3.5,0,0.331,0.611,0.084,0.162,0.0731,0,2.34,2.69,0.45,3.7,0.991,2.41,0,0.69,0,0,0.836,0.0444,4.73,0.901,0,0.077,0,0.796,0,1.29,0,0.0594,0.257,0
